case_id,group,pair,property,entry_callable,mode,dimension,scope,cut,observed_scope,lifecycle_status,upper_bound,reason_codes,expected_status,expected_upper_bound,reason_contains,matches_expected,change_from_full
s3-missing-exceptional-close,S3,missing_exceptional_exit,a normal-only close cannot discharge the exceptional-exit obligation,java-callable-v1:fixture.lifecyclev11.SourcePairs.s3MissingExceptionalClose(I)V,disable_cross_event_propagation,close_obligation,all_exits,all_modeled_exits,all_exits,unknown,,"[""release_missing_exceptional_path""]",unknown,,release_missing_exceptional_path,True,False
s4-direct,S4,direct,direct control flow preserves exact resource identity through finally close,java-callable-v1:fixture.lifecyclev11.SourcePairs.s4Direct(I)V,full,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s4-direct,S4,direct,direct control flow preserves exact resource identity through finally close,java-callable-v1:fixture.lifecyclev11.SourcePairs.s4Direct(I)V,disable_cross_event_propagation,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s4-depth-two,S4,depth_2_wrapper,two exact wrapper summaries preserve identity and return to the caller finally block,java-callable-v1:fixture.lifecyclev11.SourcePairs.s4DepthTwo(I)V,full,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s4-depth-two,S4,depth_2_wrapper,two exact wrapper summaries preserve identity and return to the caller finally block,java-callable-v1:fixture.lifecyclev11.SourcePairs.s4DepthTwo(I)V,disable_cross_event_propagation,close_obligation,all_exits,all_modeled_exits,all_exits,unknown,,"[""cross_event_propagation_disabled""]",unknown,,cross_event_propagation_disabled,True,True
s5-verified-capacity,S5,verified_capacity,verified K=3 and W=2 executor transitions prove q+a<=5 under arbitrary finite accepts,java-callable-v1:fixture.lifecyclev11.SourcePairs.s5VerifiedCapacity(I)V,full,accepted_task_population,executor,arbitrary_finite_repetitions,executor:executor-contract:6694dd3e342c65b8fa4de0ff,bounded,5,[],bounded,5,,True,False
s5-verified-capacity,S5,verified_capacity,verified K=3 and W=2 executor transitions prove q+a<=5 under arbitrary finite accepts,java-callable-v1:fixture.lifecyclev11.SourcePairs.s5VerifiedCapacity(I)V,disable_cross_event_propagation,accepted_task_population,executor,arbitrary_finite_repetitions,executor:executor-contract:6694dd3e342c65b8fa4de0ff,unknown,,"[""executor_population_binding_unavailable""]",unknown,,executor_population_binding_unavailable,True,True
s5-unknown-capacity,S5,unknown_capacity,non-constant queue capacity does not manufacture an executor population bound,java-callable-v1:fixture.lifecyclev11.SourcePairs.s5UnknownCapacity(I)V,full,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,"[""coverage_incomplete"",""executor_contract_unresolved"",""exit_state_missing:event:eafdb5d3add3098c2c62a82d"",""expected_property_unavailable""]",unknown,,executor_contract_unresolved,True,False
s5-unknown-capacity,S5,unknown_capacity,non-constant queue capacity does not manufacture an executor population bound,java-callable-v1:fixture.lifecyclev11.SourcePairs.s5UnknownCapacity(I)V,disable_cross_event_propagation,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,"[""coverage_incomplete"",""cross_event_propagation_disabled"",""executor_contract_unresolved"",""exit_state_missing:event:24d7b5682d7237366e203005"",""exit_state_missing:event:eafdb5d3add3098c2c62a82d"",""expected_property_unavailable""]",unknown,,cross_event_propagation_disabled,True,False
s6-supported-executor,S6,supported_thread_pool_executor,the supported ThreadPoolExecutor branch emits and solves task population transitions,java-callable-v1:fixture.lifecyclev11.SourcePairs.s6SupportedExecutor(I)V,full,accepted_task_population,executor,arbitrary_finite_repetitions,executor:executor-contract:6694dd3e342c65b8fa4de0ff,bounded,5,[],bounded,5,,True,False
s6-supported-executor,S6,supported_thread_pool_executor,the supported ThreadPoolExecutor branch emits and solves task population transitions,java-callable-v1:fixture.lifecyclev11.SourcePairs.s6SupportedExecutor(I)V,disable_cross_event_propagation,accepted_task_population,executor,arbitrary_finite_repetitions,executor:executor-contract:6694dd3e342c65b8fa4de0ff,unknown,,"[""executor_population_binding_unavailable""]",unknown,,executor_population_binding_unavailable,True,True
s6-unresolved-executor,S6,unresolved_executor_receiver,an aliased executor receiver is reported as unresolved instead of receiving supported semantics,java-callable-v1:fixture.lifecyclev11.SourcePairs.s6UnresolvedExecutor(I)V,full,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,"[""coverage_incomplete"",""executor_receiver_identity_unresolved"",""exit_state_missing:event:6dbc312feff73957c7aa31ae"",""expected_property_unavailable""]",unknown,,executor_receiver_identity_unresolved,True,False
s6-unresolved-executor,S6,unresolved_executor_receiver,an aliased executor receiver is reported as unresolved instead of receiving supported semantics,java-callable-v1:fixture.lifecyclev11.SourcePairs.s6UnresolvedExecutor(I)V,disable_cross_event_propagation,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,"[""coverage_incomplete"",""cross_event_propagation_disabled"",""executor_receiver_identity_unresolved"",""exit_state_missing:event:6dbc312feff73957c7aa31ae"",""exit_state_missing:event:7d0ab1128f5ef1263793d9a1"",""expected_property_unavailable""]",unknown,,cross_event_propagation_disabled,True,False
